product,grape,score,avg_price_liter
"Bodega  Aleanna 'Gran Enemigo' Gualtallary Single Vineyard Cabernet Franc, Tupungato",  Cabernet Franc - Malbec  ,94,600.0
"Catena Zapata Malbec  Argentino, Mendoza",  Malbec  ,93,697.33
"Catena Zapata 'Nicolas Catena  Zapata', Mendoza",  Cabernet Sauvignon - Malbec  ,94,641.33
"Cheval des Andes, Mendoza",  Bordeaux Blend Red  ,93,608.0
"Catena Zapata  'Angelica Zapata Alta' Malbec, Mendoza",  Malbec  ,91,316.0
"Catena Zapata 'Catena' Malbec,  Mendoza",  Malbec  ,89,129.33
"Trapiche Iscay Malbec -  Cabernet Franc, Mendoza",  Cabernet Franc - Malbec  ,92,510.67
"Catena  Zapata Adrianna Vineyard 'River Stones' Malbec, Gualtallary",  Malbec  ,94,1168.0
"Bodega  Chacra 'Cincuenta y Cinco 55' Pinot Noir, Rio Negro",  Pinot Noir  ,92,381.33
"Bodega Aleanna 'El Enemigo'  Chardonnay, Mendoza",  Chardonnay  ,90,162.67
"Catena Zapata 'Catena Alta'  Malbec, Mendoza",  Malbec  ,92,324.0
"Catena  Zapata Adrianna Vineyard 'White Bones' Chardonnay, Gualtallary",  Chardonnay  ,94,812.0
"Bodegas Caro 'Caro', Mendoza",  Cabernet Sauvignon - Malbec  ,92,389.33
"Bodega  Chacra 'Treinta y Dos 32' Pinot Noir, Rio Negro",  Pinot Noir  ,93,754.67
"Catena Zapata Estiba  Reservada, Agrelo",  Bordeaux Blend Red  ,93,488.0
"Bodega Aleanna 'Gran Enemigo',  Mendoza",  Bordeaux Blend Red  ,93,389.33
"Terrazas de los Andes  Reserva Malbec, Mendoza",  Malbec  ,88,121.33
"Cobos Malbec, Mendoza",  Malbec  ,94,281.33
"Clos  de los Siete by Michel Rolland, Vista Flores",  Red Blend  ,90,129.33
"Catena  Zapata Adrianna Vineyard 'Fortuna Terrae' Malbec, Gualtallary",  Malbec  ,94,746.67
"Bodega Aleanna 'El Enemigo'  Malbec, Mendoza",  Malbec  ,91,170.67
"Catena  Zapata Adrianna Vineyard 'White Stones' Chardonnay, Gualtallary",  Chardonnay  ,94,730.67
"La Mascota  Vineyards 'Unanime' Gran Tinto, Maipu",  Bordeaux Blend Red  ,90,162.67
"Trapiche  Terroir Series Finca Ambrosia Malbec, Gualtallary",  Malbec  ,93,260.0
"Bodega Chacra  'Barda' Pinot Noir, Rio Negro",  Pinot Noir  ,89,194.67
"Catena  Zapata Nicasia Vineyards Malbec, La Consulta",  Malbec  ,93,520.0
"Familia  Zuccardi 'Finca Piedra Infinita', Altamira",  Malbec  ,95,917.33
"Achaval  Ferrer Finca Altamira Malbec, Uco Valley",  Malbec  ,93,754.67
"Bodega Chacra Chardonnay, Rio  Negro",  Chardonnay  ,92,633.33
"Bodegas Caro  'Amancaya' Gran Reserva Malbec - Cabernet Sauvignon, Mendoza",  Cabernet Sauvignon - Malbec  ,90,129.33
"Trapiche Iscay  Syrah - Viognier, Uco Valley",  Syrah - Viognier  ,91,438.67
"Catena  Zapata Adrianna Vineyard 'Mundus Bacillus Terrae' Malbec, Gualtallary",  Malbec  ,95,273.33
"San Pedro de  Yacochuya 'Yacochuya', Cafayate",  Malbec  ,90,349.33
"Catena Zapata 'D.V. Catena'  Malbec - Malbec, Mendoza",  Malbec  ,89,186.67
"Catena  Zapata Adrianna Vineyard Malbec, Gualtallary",  Malbec  ,93,641.33
"Trapiche Malbec, Mendoza",  Malbec  ,83,57.33
"Antigal 1 Uno Malbec, Mendoza,",  Malbec  ,87,97.33
"Catena 'Alamos' Malbec, Mendoza,",  Malbec  ,87,73.33
"Bodega Norton Reserva  Malbec, Lujan de Cuyo",  Malbec  ,89,105.33
"Familia  Zuccardi 'Finca Piedra Infinita' Gravascal, Paraje Altamira",  Malbec  ,97,297.33
"Trivento  Golden Reserve Malbec, Lujan de Cuyo",  Malbec  ,89,129.33
"Luca Malbec, Uco Valley,",  Malbec  ,91,218.67
"Bodega  Aleanna 'Gran Enemigo' El Cepillo Single Vineyard Cabernet Franc, San Carlos",  Cabernet Franc  ,94,462.67
"Luigi Bosca Malbec, Mendoza,",  Malbec  ,88,121.33
"Rutini Cabernet - Malbec, Mendoza,",  Cabernet Sauvignon - Malbec  ,89,137.33
"Catena Zapata 'Catena Alta'  Chardonnay, Mendoza",  Chardonnay  ,91,226.67
"Bodega Chacra Mainque  Chardonnay, Rio Negro",  Chardonnay  ,92,365.33
"Susana Balbo Wines  'Nosotros' Single Vineyard Nomade, Mendoza",  Malbec  ,93,876.0
"PerSe  'La Craie', Gualtallary",  Cabernet Franc - Malbec  ,97,1330.67
"Bodega Aleanna 'El Enemigo'  Cabernet Franc, Mendoza",  Cabernet Franc  ,91,170.67
"La Mascota Vineyards 'Unanime'  Malbec, Mendoza",  Malbec  ,91,210.67
"Kaiken Ultra Malbec, Uco  Valley",  Malbec  ,89,121.33
"Trivento Reserve  Malbec, Lujan de Cuyo",  Malbec  ,88,65.33
"Vina Cobos  Bramare Lujan de Cuyo Malbec, Mendoza",  Malbec  ,91,284.0
"Bodega  Monteviejo Lindaflor 'La Violeta' Malbec, Vista Flores",  Malbec  ,93,665.33
"Familia Zuccardi  'Jose Zuccardi' Malbec, Uco Valley",  Malbec  ,92,292.0
"Wagner Family Red  Schooner Voyage, Mendoza",  Malbec  ,93,308.0
"Achaval Ferrer Malbec, Mendoza,",  Malbec  ,89,137.33
"Familia Zuccardi  'Zuccardi Q' Malbec, Uco Valley",  Malbec  ,90,129.33
"Trapiche  Terroir Series Finca Coletto, Tupungato",  Malbec  ,92,252.0
"Trapiche Oak Cask-Reserve  Malbec, Mendoza",  Malbec  ,87,65.33
"Catena Zapata  'Angelica Zapata Alta' Cabernet Sauvignon, Mendoza",  Cabernet Sauvignon  ,90,316.0
"Catena Zapata 'D.V. Catena'  Cabernet - Malbec, Mendoza",  Cabernet Sauvignon - Malbec  ,89,129.33
"Vinalba Malbec -  Touriga Nacional Reserve, Mendoza",  Red Blend  ,91,105.33
"Rutini Trumpeter Malbec,  Mendoza",  Malbec  ,87,81.33
"Achaval  Ferrer Finca Bella Vista Malbec, Perdriel",  Malbec  ,93,673.33
"Familia  Zuccardi 'Concreto' Malbec, Altamira",  Malbec  ,92,226.67
"Vina Cobos Volturno,  Perdriel",  Cabernet Sauvignon - Malbec  ,93,785.33
"Catena Zapata  'Parcela Nicola Catena' Bonarda, Mendoza",  Bonarda  ,92,438.67
"Achaval Ferrer Quimera, Mendoza,",  Bordeaux Blend Red  ,91,244.0
"Bodega Noemia de Patagonia  Malbec, Rio Negro",  Malbec  ,94,981.33
"Bodega Norton Privada Red,  Lujan de Cuyo",  Bordeaux Blend Red  ,91,154.67
"Catena Zapata 'D.V.  Catena' Tinto Historico, Mendoza",  Red Blend  ,90,129.33
"Rutini Malbec, Uco Valley,",  Malbec  ,90,210.67
"Trapiche Broquel Malbec,  Mendoza",  Malbec  ,87,89.33
"Terrazas  de los Andes Grand Malbec, Las Compuertas",  Malbec  ,91,316.0
"Bodega  Aleanna 'Gran Enemigo' Chacayes Single Vineyard Cabernet Franc, Tunuyan",  Cabernet Franc  ,94,478.67
"Achaval Ferrer  Finca Mirador Malbec, Maipu",  Malbec  ,92,697.33
