product,grape,score,avg_price_liter
"Vina Almaviva, Puente Alto,",  Bordeaux Blend Red  ,93,1177.33
"Sena, Aconcagua Valley",  Bordeaux Blend Red  ,94,852.0
"Concha y  Toro Don Melchor Cabernet Sauvignon, Puente Alto",  Cabernet Sauvignon  ,94,884.0
"Clos Apalta, Colchagua Valley,",  Bordeaux Blend Red  ,93,844.0
"Montes 'Purple Angel',  Colchagua Valley",  Carmenere  ,92,592.0
"Vinedo Chadwick, Maipo Valley,",  Bordeaux Blend Red  ,94,744.0
"Errazuriz Don  Maximiano Founder's Reserve, Aconcagua Valley",  Bordeaux Blend Red  ,93,502.67
"Montes Alpha M, Apalta,",  Bordeaux Blend Red  ,93,576.0
"Vina Almaviva EPU,  Puente Alto",  Bordeaux Blend Red  ,92,373.33
"Vina  Quebrada de Macul Domus Aurea Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,93,544.0
"Clos Apalta 'Le Petit Clos',  Apalta Valley",  Bordeaux Blend Red  ,91,365.33
"Marques de Casa Concha  Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,90,137.33
"Montes Alpha Cabernet  Sauvignon, Colchagua Valley",  Cabernet Sauvignon  ,89,129.33
"VIK, Millahue",  Bordeaux Blend Red  ,93,909.33
"VIK 'La Piu Belle',  Millahue",  Red Blend  ,92,560.0
"Los Vascos Cabernet Sauvignon,  Colchagua Valley",  Cabernet Sauvignon  ,87,73.33
"Casillero del Diablo  Reserva Cabernet Sauvignon, Central Valley",  Cabernet Sauvignon  ,87,65.33
"Vina San Pedro 'Sideral',  Cachapoal Valley",  Bordeaux Blend Red  ,90,194.67
"Le Dix de Los Vascos,  Colchagua Valley",  Cabernet Sauvignon  ,91,421.33
"Montes Folly Syrah, Apalta,",  Syrah  ,92,544.0
"Santa Rita Casa Real  Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,92,544.0
"Tabali 'Talinay' Sauvignon  Blanc, Limari Valley",  Sauvignon Blanc  ,93,121.33
"VIK 'Milla Cala',  Millahue",  Red Blend  ,91,284.0
"Vina San Pedro 'Altair'  Tinto, Cachapoal Valley",  Red Blend  ,92,544.0
"Tabali 'Talinay' Pinot Noir,  Limari Valley",  Pinot Noir  ,91,137.33
"Montes Alpha Syrah, Colchagua  Valley",  Syrah  ,90,129.33
"Cono  Sur 20 Barrels Limited Edition Pinot Noir, Casablanca Valley",  Pinot Noir  ,90,170.67
"Errazuriz Max Reserva  Cabernet Sauvignon, Aconcagua Valley",  Cabernet Sauvignon  ,89,113.33
"Errazuriz 'Las  Pizarras' Pinot Noir, Aconcagua Costa",  Pinot Noir  ,93,510.67
"Aristos 'Duquesa  d'A' Grand Chardonnay, Cachapoal Valley",  Chardonnay  ,94,722.67
"Emiliana 'Coyam', Colchagua Valley,",  Red Blend  ,91,170.67
"Santa Rita Triple C, Maipo Valley,",  Bordeaux Blend Red  ,90,268.0
"Montes 'Taita' Marchique  Vineyard Red, Colchagua Valley",  Cabernet Sauvignon  ,92,444.0
"Gandolini Las 3 Marias  Vineyards Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,93,1185.33
"Vina Tarapaca Gran  Reserva Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,88,105.33
"Errazuriz Kai Carmenere,  Aconcagua Valley",  Carmenere  ,92,657.33
"Vina  Ventisquero Unico Luis Miguel Cabernet Sauvignon Gran Reserva, Maipo Valley",  Cabernet Sauvignon  ,85,89.33
"Concha y  Toro Carmin de Peumo Carmenere, Cachapoal Valley",  Carmenere  ,93,965.33
"MontGras Intriga Maxima  Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,90,714.67
"Koyle Los Lingues Auma,  Colchagua Valley",  Red Blend  ,92,592.0
"Rocas de Sena, Aconcagua Valley,",  Bordeaux Blend Red  ,92,365.33
