product,grape,score,avg_price_liter
"Chateau Mouton  Rothschild, Pauillac",  Bordeaux Blend Red  ,96,789.33
"Dom Perignon Brut, Champagne,",  Champagne Blend  ,94,529.33
"Chateau Lafite  Rothschild, Pauillac",  Bordeaux Blend Red  ,96,1170.67
"Petrus, Pomerol",  Merlot  ,96,1321.33
"Chateau Margaux, Margaux",  Bordeaux Blend Red  ,96,1102.67
"Chateau Cheval Blanc,  Saint-Emilion",  Bordeaux Blend Red  ,96,1053.33
"Chateau Latour, Pauillac",  Cabernet Sauvignon - Merlot  ,96,8.0
"Domaine  de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits",  Pinot Noir  ,98,818.67
"Chateau Haut-Brion,  Pessac-Leognan",  Bordeaux Blend Red  ,96,269.33
"Chateau Pontet-Canet,  Pauillac",  Bordeaux Blend Red  ,95,914.67
"Domaine  de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits",  Pinot Noir  ,97,196.0
"Chateau d'Yquem, Sauternes",  Sauvignon Blanc - Semillon  ,96,449.33
"Louis Roederer  Cristal Millesime Brut, Champagne",  Chardonnay - Pinot Noir  ,95,1057.33
"Chateau Lynch-Bages, Pauillac,",  Bordeaux Blend Red  ,94,1121.33
"Chateau Montrose, Saint-Estephe,",  Bordeaux Blend Red  ,95,1294.67
"Chateau Cos d'Estournel,  Saint-Estephe",  Bordeaux Blend Red  ,95,142.67
"Chateau  Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien",  Bordeaux Blend Red  ,96,513.33
"Chateau  Pichon Longueville Comtesse de Lalande, Pauillac",  Bordeaux Blend Red  ,95,224.0
"Chateau Leoville Barton,  Saint-Julien",  Bordeaux Blend Red  ,94,782.67
"Chateau Palmer, Margaux",  Bordeaux Blend Red  ,95,1024.0
"Chateau Angelus, Saint-Emilion,",  Bordeaux Blend Red  ,95,120.0
"Krug Vintage Brut, Champagne,",  Champagne Blend  ,96,476.0
"Chateau Figeac, Saint-Emilion  Grand Cru",  Bordeaux Blend Red  ,95,480.0
"Chateau  Pichon-Longueville au Baron de Pichon-Longueville, Pauillac",  Bordeaux Blend Red  ,95,1245.33
"Chateau  Ducru-Beaucaillou, Saint-Julien",  Cabernet Sauvignon - Merlot  ,95,249.33
"Salon Cuvee 'S'  Le Mesnil Blanc de Blancs Brut, Champagne",  Chardonnay  ,96,872.0
"Chateau Leoville  Poyferre, Saint-Julien",  Bordeaux Blend Red  ,94,841.33
"Chateau La Mission  Haut-Brion, Pessac-Leognan",  Bordeaux Blend Red  ,95,110.67
"Chateau Pavie, Saint-Emilion  Grand Cru",  Bordeaux Blend Red  ,95,1049.33
"Chateau Canon, Saint-Emilion  Grand Cru",  Bordeaux Blend Red  ,95,1072.0
"Chateau Talbot, Saint-Julien,",  Bordeaux Blend Red  ,91,585.33
"Domaine  Armand Rousseau Pere et Fils Chambertin Grand Cru, Cote de Nuits",  Pinot Noir  ,96,1168.0
"Chateau Lafleur, Pomerol",  Cabernet Franc - Merlot  ,96,340.0
"Chateau de Beaucastel  Chateauneuf-du-Pape, Rhone",  Southern Rhone Red Blend  ,93,650.67
"Chateau Beychevelle,  Saint-Julien",  Bordeaux Blend Red  ,93,873.33
"Domaine  de la Romanee-Conti Romanee-Saint-Vivant Grand Cru, Cote de Nuits",  Pinot Noir  ,95,702.67
"Chateau Calon-Segur,  Saint-Estephe",  Bordeaux Blend Red  ,94,1022.67
"Chateau  Grand-Puy-Lacoste, Pauillac",  Bordeaux Blend Red  ,93,601.33
"Domaine  de la Romanee-Conti Richebourg Grand Cru, Cote de Nuits",  Pinot Noir  ,96,516.0
"Taittinger Comtes  de Champagne Blanc de Blancs Brut, Champagne",  Chardonnay  ,94,125.33
"Chateau Smith Haut  Lafitte, Pessac-Leognan",  Bordeaux Blend Red  ,94,922.67
"Chateau Troplong  Mondot, Saint-Emilion Grand Cru",  Bordeaux Blend Red  ,94,832.0
"Domaine  de la Romanee-Conti Echezeaux Grand Cru, Cote de Nuits",  Pinot Noir  ,94,138.67
"Chateau  Lafite Rothschild 'Carruades de Lafite', Pauillac",  Bordeaux Blend Red  ,91,1172.0
"Chateau Giscours, Margaux,",  Bordeaux Blend Red  ,92,528.0
"Vieux Chateau Certan, Pomerol,",  Bordeaux Blend Red  ,95,628.0
