product,grape,score,avg_price_liter
"Tenuta San Guido  Sassicaia Bolgheri, Tuscany",  Cabernet Franc - Cabernet  Sauvignon  ,95,2414.67
"Marchesi Antinori  Tignanello Toscana IGT, Tuscany",  Cabernet - Sangiovese  ,94,1253.33
"Ornellaia Bolgheri Superiore,  Tuscany",  Bordeaux Blend Red  ,94,1730.67
"Masseto Toscana IGT, Tuscany",  Merlot  ,96,6817.33
"Marchesi Antinori Solaia  Toscana IGT, Tuscany",  Cabernet - Sangiovese  ,95,2556.0
"Fontodi  Flaccianello della Pieve Colli della Toscana Centrale IGT, Tuscany",  Sangiovese  ,95,1129.33
"Giacomo  Conterno Monfortino, Barolo Riserva DOCG",  Nebbiolo  ,96,9364.0
"Gaja Barbaresco DOCG, Piedmont,",  Nebbiolo  ,93,1730.67
"Montevertine Le Pergole  Torte Toscana IGT, Tuscany",  Sangiovese  ,95,2193.33
"Case  Basse di Gianfranco Soldera Toscana IGT - Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,94,5382.67
"Biondi  Santi Tenuta Greppo Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,93,1409.33
"Bartolo Mascarello Barolo  DOCG, Piedmont",  Nebbiolo  ,94,2926.67
"Il Poggione Brunello di  Montalcino DOCG, Tuscany",  Sangiovese  ,92,428.0
"Marchesi  Antinori Tenuta Guado al Tasso Bolgheri Superiore, Tuscany",  Bordeaux Blend Red  ,93,948.0
"Biondi  Santi Tenuta Greppo Riserva, Brunello di Montalcino DOCG",  Sangiovese  ,95,4129.33
Falletto  di Bruno Giacosa 'Falletto Riserva - Falleto Vigna Le Rocche' Barolo DOCG,  Nebbiolo  ,95,3354.67
"Giacomo Conterno  Francia Barolo DOCG, Piedmont",  Nebbiolo  ,95,2093.33
"Tenuta Luce 'Luce' Toscana IGT, Tuscany,",  Merlot - Sangiovese  ,93,774.67
"G. B. Burlotto Barolo  Monvigliero, Barolo DOCG",  Nebbiolo  ,95,3544.0
"Produttori del Barbaresco  'Barbaresco DOCG', Piedmont",  Nebbiolo  ,91,297.33
"Tenuta San Guido 'Guidalberto'  Toscana IGT, Tuscany",  Cabernet Sauvignon - Merlot  ,91,337.33
"Gaja Sperss Langhe - Barolo,  Piedmont",  Nebbiolo  ,94,2225.33
"Giuseppe  Quintarelli Amarone della Valpolicella Classico DOCG, Veneto",  Valpolicella Blend  ,94,2794.67
"Casanova  di Neri Tenuta Nuova, Brunello di Montalcino DOCG",  Sangiovese  ,94,841.33
"Giuseppe  Rinaldi 'Brunate-Le Coste', Barolo DOCG",  Nebbiolo  ,94,3066.67
"Luciano  Sandrone Aleste-Cannubi Boschis, Barolo DOCG",  Nebbiolo  ,95,1113.33
"Petrolo Galatrona  Valdarno di Sopra, Tuscany",  Merlot  ,93,650.67
"Castello Banfi  Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,90,428.0
"Giuseppe  Mascarello e Figlio Monprivato, Barolo DOCG",  Nebbiolo  ,94,1582.67
"Fattoria Le Pupille  'Saffredi' Maremma Toscana, Tuscany",  Bordeaux Blend Red  ,94,609.33
"Masi  Costasera, Amarone della Valpolicella Classico DOCG",  Valpolicella Blend  ,91,362.67
"Dal  Forno Romano Vigneto Monte Lodoletta, Amarone della Valpolicella DOCG",  Valpolicella Blend  ,94,2505.33
Emidio Pepe Montepulciano  d'Abruzzo,  Montepulciano  ,91,1236.0
"Marchesi  Frescobaldi Castelgiocondo, Brunello di Montalcino DOCG",  Sangiovese  ,91,404.0
