product,grape,score,avg_price_liter
Taylor Fladgate Vintage  Port,  Port Blend Red  ,95,706.67
Dow's Vintage Port,  Port Blend Red  ,94,738.67
W & J Graham's Vintage  Port,  Port Blend Red  ,94,722.67
"Fonseca Vintage Port,",  Port Blend Red  ,94,665.33
Quinta do Noval Vintage  Port,  Port Blend Red  ,94,738.67
"Warre's Vintage Port,",  Port Blend Red  ,93,649.33
"Casa Ferreirinha 'Barca  Velha', Douro",  Tinta Roriz - Tinto Cao - Touriga  ,92,820.0
Quinta do  Noval Nacional Vintage Port,  Port Blend Red  ,97,1026.67
"Cartuxa Pera Manca Tinto,  Alentejo",  Portuguese Red Blend  ,92,1156.0
Mateus The Original Rose,  Rose Blend  ,85,57.33
"Quinta do Vale Meao Tinto, Douro,",  Portuguese Red Blend  ,94,1088.0
"Kopke Colheita Port,",  Port Blend Red  ,91,778.67
"Niepoort Vintage Port,",  Port Blend Red  ,93,649.33
"Niepoort Colheita Port,",  Port Blend Red  ,91,738.67
Taylor  Fladgate Late Bottled Vintage Port,  Port Blend Red  ,89,146.67
"Cockburn's Vintage Port,",  Port Blend Red  ,91,528.0
"P+S Prats & Symington  Chryseia, Douro",  Touriga Franca - Touriga Nacional  ,93,584.0
W  & J Graham's Single Harvest Tawny Port,  Port Blend Red  ,93,476.0
Croft Vintage Port,  Port Blend Red  ,91,528.0
Quinta do Vesuvio  Single Quinta Vintage Port,  Port Blend Red  ,93,536.0
W & J  Graham's Late Bottled Vintage Port,  Port Blend Red  ,89,146.67
"Ferreira Vintage Port,",  Port Blend Red  ,92,625.33
"Sandeman Vintage Port,",  Port Blend Red  ,91,804.0
"Casa Ferreirinha Quinta da  Leda, Douro",  Portuguese Red Blend  ,92,357.33
"Quinta do Crasto  Vinhas Velhas - Old Vines Reserva, Douro",  Portuguese Red Blend  ,91,244.0
Taylor  Fladgate Very Old Single Harvest Port,  Port Blend Red  ,94.0,573.33
"Cartuxa Pera Manca Branco,  Alentejo",  Antao Vaz - Arinto (Pederna)  ,91.0,494.67
Taylor  Fladgate Quinta de Vargellas Vintage Port,  Port Blend Red  ,92.0,413.33
"Cartuxa Evora Colheita  Tinto, Alentejo",  Portuguese Red Blend  ,89.0,178.67
Kopke Vintage Port,  Port Blend Red  ,90.0,389.33
W & J  Graham's 'The Stone Terraces' Vintage Port,  Port Blend Red  ,96.0,476.0
W  & J Graham's Quinta dos Malvedos Vintage Port,  Port Blend Red  ,92.0,413.33
"D'Oliveiras Boal Vintage Madeira,",  Bual (Malvasia Fina)  ,90.0,452.0
"Herdade  da Maroteira Cem Reis Reserva Syrah, Vinho Regional Alentejano",  Syrah  ,90.0,430.67
"Herdade do Esporao 'Esporao'  Reserva, Alentejo",  Portuguese Red Blend  ,89.0,146.67
"Niepoort Coche, Douro",  Portuguese White Blend  ,93.0,617.33
