,product,grape,score,avg_price_liter
0,"Vinicola  Campestre 'Pergola' Tinto de Mesa Selecao Suave, Grande do Sul",  Red Blend  ,,24.0
1,"Lidio  Carraro Grande Vindima Merlot, Encruzilhada do Sul",  Merlot  ,90.0,384.0
2,"Vinicola  Campestre 'Zanotto' Sangiovese, Campos de Cima da Serra",  Sangiovese  ,95.0,98.67
3,"Lidio  Carraro Grande Vindima Tannat, Encruzilhada do Sul",  Tannat  ,90.0,645.33
4,"Peterlongo  'Elegance' Blanc de Blancs Brut, Rio Grande do Sul",  Chardonnay  ,88.0,212.0
5,"Lidio  Carraro Agnus Cabernet Sauvignon, Encruzilhada do Sul",  Cabernet Sauvignon  ,91.0,106.67
6,"Lidio  Carraro Dadivas Merlot - Cabernet Sauvignon, Encruzilhada do Sul",  Cabernet Sauvignon - Merlot  ,87.0,122.67
7,"Casa  Valduga Identidade Corte, Encruzilhada do Sul",  Red Blend  ,89.0,294.67
8,"Lidio  Carraro Dadivas Pinot Noir, Encruzilhada do Sul",  Pinot Noir  ,86.0,130.67
9,"Lidio Carraro  Agnus Merlot, Encruzilhada do Sul",  Merlot  ,85.0,106.67
10,"Lidio Carraro  Dadivas Chardonnay, Encruzilhada do Sul",  Chardonnay  ,86.0,122.67
11,"Familia Bebber Maragato  Cuvee, Rio Grande do Sul",  Red Blend  ,,302.67
12,"Vitoria Regia  Organico Rose London Dry Gin, Rio Grande do Sul",  Pink Gin  ,,138.67
13,"Manus 'Liberum  Manus' Nebbiolo Rose, Serra do Sudeste",  Nebbiolo  ,90.0,212.0
14,"Casa Valduga  'ERA' Chardonnay, Serra do Sudeste",  Chardonnay  ,,130.67
15,"Vinicola  Hermann Lirica Brut Metodo Classico, Rio Grande do Sul",  White Blend  ,91.0,106.67
16,"Vinicola  Hermann Lirica Crua Metodo Classico, Rio Grande do Sul",  White Blend  ,91.0,106.67
17,"Casa  Valduga Terroir Pinot Noir, Serra do Sudeste",  Pinot Noir  ,88.0,122.67
18,"Casa  Valduga 'Terroir Exclusivo' Syrah - Viognier, Serra do Sudeste",  Syrah - Viognier  ,,138.67
19,"Casa  Valduga Identidade Ancellota, Encruzilhada do Sul",  Ancellotta  ,,457.33
20,"Peterlongo  Armando Winemaker Signature Teroldego, Rio Grande do Sul",  Teroldego  ,88.0,146.67
21,"Lidio Carraro  'Faces do Brasil' Chardonnay, Serra do Sudeste",  Chardonnay  ,86.0,65.33
22,"Lidio  Carraro Singular Nebbiolo, Encruzilhada do Sul",  Nebbiolo  ,89.0,702.67
23,"RAR  Collezione Gewurztraminer, Campos de Cima da Serra",  Gewurztraminer  ,,114.67
24,"Lidio  Carraro Elos Touriga Nacional - Tannat, Encruzilhada do Sul",  Red Blend  ,87.0,237.33
0,"Lidio  Carraro Elos Touriga Nacional - Tannat, Encruzilhada do Sul",  Red Blend  ,87.0,237.33
1,"areA15 Blends  Reserva Chardonnay - Sauvignon Blanc, Rio Grande do Sul",  Chardonnay - Sauvignon Blanc  ,,114.67
2,"areA15 Blends  Reserva Cabernet Franc - Merlot, Rio Grande do Sul",  Cabernet Franc - Merlot  ,,114.67
3,"Viapiana 575 Dias  Espumante Nature, Rio Grande do Sul",  White Blend  ,90.0,229.33
4,"Lidio Carraro  Agnus Malbec, Encruzilhada do Sul",  Malbec  ,,114.67
5,"Casa  Valduga Terroir Exclusivo Arinarnoa, Serra do Sudeste",  Arinarnoa  ,85.0,138.67
6,"Peterlongo  Armando Winemaker Signature Touriga Nacional, Rio Grande do Sul",  Touriga Nacional  ,88.0,138.67
7,"Familia Bebber Bah Tannat  - Touriga, Rio Grande do Sul",  Red Blend  ,,122.67
8,"Familia  Bebber Guri Pinot Noir, Serra do Sudeste",  Pinot Noir  ,,122.67
9,"Familia Bebber  Chardonnay, Serra do Sudeste",  Chardonnay  ,,98.67
10,"Familia Bebber Vero Brut  Rose, Rio Grande do Sul",  Rose Blend  ,,98.67
11,"Casa  Marques Pereira Reserva Merlot, Monte Belo do Sul",  Merlot  ,,114.67
12,"Lidio  Carraro 'Faces do Brasil' Pinot Noir Rose, Serra do Sudeste",  Pinot Noir  ,82.0,65.33
13,"Lidio Carraro  'Faces do Brasil' Merlot, Serra do Sudeste",  Merlot  ,80.0,73.33
14,"Lidio  Carraro Singular Teroldego, Encruzilhada do Sul",  Teroldego  ,92.0,352.0
15,"Lidio  Carraro Elos Cabernet Sauvignon - Malbec, Encruzilhada do Sul",  Cabernet Sauvignon - Merlot  ,90.0,180.0
16,"Lidio  Carraro Dadivas Tempranillo, Encruzilhada do Sul",  Tempranillo  ,,114.67
17,"Casa  Valduga 'Terroir Exclusivo' Viognier, Serra do Sudeste",  Viognier  ,89.0,146.67
18,"Salton  Classic Reserva Especial Cabernet Franc, Serra do Sudeste",  Cabernet Franc  ,,41.33
19,"Casa  Valduga Identidade Marselan, Encruzilhada do Sul",  Marselan  ,90.0,156.0
20,"Lidio  Carraro Singular Tempranillo, Encruzilhada do Sul",  Tempranillo  ,89.0,360.0
21,"Lidio  Carraro Dadivas Moscatel Espumante, Encruzilhada do Sul",  Muscat  ,91.0,98.67
22,"areA15 Blends  Reserva Cabernet Sauvignon - Tannat, Rio Grande do Sul",  Cabernet - Tannat  ,,122.67
23,"areA15 Blends Gran  Reserva Merlot - Tannat, Rio Grande do Sul",  Merlot - Tannat  ,,196.0
24,"areA15  Blends Reserva Malbec - Moscato Giallo Rose, Rio Grande do Sul",  Rose Blend  ,,106.67
0,"Adolfo Lona Brut Rose, Rio  Grande do Sul",  Chardonnay - Pinot Noir  ,89.0,89.33
1,"Adolfo Lona 'Demi'  Espumante Aromatico, Rio Grande do Sul",  Muscat  ,,73.33
2,"Adolfo Lona 'Nature' Pas  Dose, Rio Grande do Sul",  White Blend  ,,130.67
3,"Adolfo Lona Brut, Rio Grande do Sul,",  Chardonnay - Pinot Noir  ,91.0,98.67
4,"Don Affonso  Parole di Famiglia Sauvignon Blanc, Rio Grande do Sul",  Sauvignon Blanc  ,,89.33
5,"Lidio Carraro  Agnus Tannat, Encruzilhada do Sul",  Tannat  ,88.0,114.67
6,"Pizzato Allume Chardonnay, Rio  Grande do Sul",  Chardonnay  ,,114.67
7,"Pizzato Allume Pinot Noir,  Rio Grande do Sul",  Pinot Noir  ,,114.67
8,"Quinta  Barroca da Tilia Rus de Alma, Encruzilhada do Sul",  Red Blend  ,,221.33
9,"Angheben Cabernet  Sauvignon, Encruzilhada do Sul",  Cabernet Sauvignon  ,89.0,122.67
10,"Angheben Brut  Espumante, Encruzilhada do Sul",  Chardonnay - Pinot Noir  ,88.0,164.0
11,"Cave Antiga Vinho  Licoroso, Farroupilha",  Vin de Liqueur  ,,334.67
12,"Antonio Dias Brut, Rio Grande do  Sul",  White Blend  ,,106.67
13,"Antonio Dias Moscatel  Espumante, Rio Grande do Sul",  Muscat  ,,81.33
14,"Antonio Dias Rose, Rio Grande do  Sul",  Merlot  ,,106.67
15,"Antonio Dias Tannat, Rio Grande  do Sul",  Tannat  ,,57.33
16,"Peterlongo  Armando Memoria Pinot Noir, Serra do Sudeste",  Pinot Noir  ,,106.67
17,"Peterlongo Armando  Memoria Tannat, Rio Grande do Sul",  Tannat  ,,106.67
18,"Garbo Duo Chardonnay - Arneis,  Rio Grande do Sul",  White Blend  ,,106.67
19,"Casa  Valduga Arte Gewurztraminer - Malbec Rose, Serra do Sudeste",  Rose Blend  ,86.0,57.33
20,"Casa  Valduga Arte Fruite Marselan - Malbec, Serra do Sudeste",  Red Blend  ,,49.33
21,"Audace Massilia Rose  of Pinot Noir, Rio Grande do Sul",  Pinot Noir  ,89.0,130.67
22,"Vinicola  Aurora 'Procedencias' Chardonnay Brut, Rio Grande do Sul",  Chardonnay  ,86.0,49.33
23,"Quinta  Barroca da Tilia Pro Bono, Encruzilhada do Sul",  Red Blend  ,,188.0
24,"Familia Bebber Vero Brut, Rio  Grande do Sul",  White Blend  ,,106.67
0,"Familia  Bebber Sauvignon Blanc, Campos de Cima da Serra",  Sauvignon Blanc  ,,106.67
1,"Familia Bebber Chimango  Cuvee, Rio Grande do Sul",  Chardonnay  ,,253.33
2,"Familia Bebber Rose,  Serra do Sudeste",  Rose Blend  ,,106.67
3,"Familia  Bebber Reserva Marselan, Serra do Sudeste",  Marselan  ,,114.67
4,"Familia  Bebber Reserva Touriga Nacional, Serra do Sudeste",  Touriga Nacional  ,,106.67
5,"Lidio Carraro  'Dadivas' Blanc de Blanc Brut, Rio Grande do Sul",  White Blend  ,86.0,138.67
6,"Vinicola  Campestre 'Zanotto' Sauvignon Blanc, Rio Grande do Sul",  Sauvignon Blanc  ,88.0,81.33
7,"Peterlongo  'Elegance' Blanc de Blancs Nature, Rio Grande do Sul",  Chardonnay  ,89.0,229.33
8,"Marzarotto Pleno Blush, Rio  Grande do Sul",  Rose Blend  ,,81.33
9,"Salton  Evidence Cuvee Sur Lie Espumante Branco Nature, Rio Grande do Sul",  Chardonnay - Pinot Noir  ,,138.67
10,"Valmarino Nature Sur  Lie Branco, Rio Grande do Sul",  White Blend  ,90.0,138.67
11,"Lidio  Carraro 'Faces do Brasil' Pinot Noir Brut Rose, Serra do Sudeste",  Pinot Noir  ,,73.33
12,"Lidio  Carraro 'Faces do Brasil' Moscatel Espumante, Serra do Sudeste",  Muscat  ,88.0,73.33
13,"Lidio Carraro  'Faces do Brasil' Brut, Serra do Sudeste",  Chardonnay - Pinot Noir  ,,73.33
14,"RAR  Collezione Pinot Noir, Campos de Cima da Serra",  Pinot Noir  ,,122.67
15,"RAR  Collezione Viognier, Campos de Cima da Serra",  Viognier  ,89.0,138.67
16,"Vitoria  Regia Organic Tropical London Dry Gin, Rio Grande do Sul",  Gin  ,,146.67
17,"Vinicola Campestre  'Zanotto' Malbec, Rio Grande do Sul",  Malbec  ,85.0,65.33
18,"Casa Valduga  Premivm Brut, Serra do Sudeste",  Chardonnay - Pinot Noir  ,,106.67
19,"Lidio  Carraro Dadivas Espumante Brut, Encruzilhada do Sul",  White Blend  ,,106.67
20,"Casa  Valduga Identidade Gewurztraminer, Encruzilhada do Sul",  Gewurztraminer  ,89.0,106.67
21,"Vinicola  Hermann Matiz Cabernet Sauvignon, Serra do Sudeste",  Cabernet - Syrah/Shiraz  ,,73.33
22,"Vinicola  Hermann Matiz Touriga Nacional, Serra do Sudeste",  Cabernet Sauvignon  ,,73.33
23,"Don Guerino  Reserva Pinot Noir, Encruzilhada do Sul",  Pinot Noir  ,,106.67
24,"Casa  Valduga Naturelle Tinto Reserva, Serra do Sudeste",  Red Blend  ,,98.67
0,"Valmarino Nature Sur  Lie Tinto, Rio Grande do Sul",  Red Blend  ,,138.67
1,"Valmarino Nature Sur  Lie Rose, Rio Grande do Sul",  Rose Blend  ,,196.0
2,"Marzarotto  Gran Reserva Cabernet Franc, Serra do Sudeste",  Cabernet Franc  ,,196.0
3,"Marzarotto  Pleno Merlot, Campos de Cima da Serra",  Merlot  ,,81.33
4,"Marzarotto Gran  Reserva Tannat, Serra do Sudeste",  Tannat  ,,196.0
5,"Marzarotto  Pleno Cabernet Franc, Serra do Sudeste",  Cabernet Franc  ,,81.33
6,"Casa  Valduga Terroir Gewurztraminer, Serra do Sudeste",  Gewurztraminer  ,89.0,114.67
7,"Vitoria  Regia Organic Citrus London Dry Gin, Rio Grande do Sul",  Gin  ,,146.67
8,"Vinicola  Campestre 'Zanotto' Pinot Noir, Campos de Cima da Serra",  Pinot Noir  ,,65.33
9,"Garbo Duo Cabernet - Cabernet, Rio  Grande do Sul",  Cabernet Sauvignon  ,,98.67
10,"Marzarotto Gran  Reserva Chardonnay, Serra do Sudeste",  Chardonnay  ,,188.0
11,"Vinicola  Hermann Matiz 'Plural', Serra do Sudeste",  Cabernet - Syrah - Tempranillo  ,,73.33
