Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(nÃºmero)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(Â°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",Unnamed: 7,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao
2008-01-31,8.0,119,"962,534005","23,352688","10,2","3,980242",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-02-29,9.0,"86,6","962,577557","22,556399",7,"2,956236",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-03-31,13.0,"72,4","963,780803","21,611553","13,2","3,034011",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-04-30,12.0,"114,2","963,796111","18,47","10,8","2,520139",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-05-31,10.0,75,"967,464275","14,925338","8,4","2,725314",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-06-30,17.0,"206,2","968,494118","12,106679",12,"2,7843",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-07-31,14.0,"83,6","968,236559","16,202151",10,"2,824158",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-08-31,13.0,"126,2","965,994355","14,783871","11,6","3,225538",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-09-30,10.0,"75,8","967,623194","14,171389","9,9","3,833889",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2008-10-31,17.0,"413,6","965,513844","18,327285","10,3","4,056317",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
