Series Name,Series Code,Country Name,Country Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Eastern and Southern,AFE,812.973644842731,985.563259008396,1120.48433335693,1226.22356855463,1369.85532795439,1428.38272766643,1411.62245960991,1643.60556870139,1792.90750512756,1759.18239469392,1730.39468555029,1719.18372097247,1538.55226805656,1443.69237090812,1628.58678812124,1564.73433998697,1512.2705529912,1363.54074100996,1549.77272965144,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Western and Central,AFW,697.905290822087,841.357960964114,1000.86958105037,1241.8519002881,1417.60505010147,1681.47767951697,1463.39329309204,1675.73957223421,1856.68766916914,1953.40703302973,2149.29521922384,2243.2714641609,1876.62348318848,1645.02376743667,1585.91193032787,1731.31179201546,1749.30331701118,1683.43639098491,1757.03062622138,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,2896.05482369641,3371.90099475959,4048.84557785748,4679.87818504865,5303.83821640281,6501.82671201089,5562.24770953788,6385.35600081066,6826.51552045642,7327.26882603476,7307.37301728693,7276.42899854934,6245.78778494805,6062.68155691884,6132.42835385013,6474.29534015992,6384.06632128077,5545.45524618957,6271.31900080308,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,5938.53374791881,6453.1436981051,7248.40734268382,8192.98414588988,9053.24647637149,10222.7281080867,8592.54949651641,9271.77321574523,9948.83893143998,10417.9381972033,10542.7861465615,10711.7791084348,10473.834450072,9781.00881561088,10075.8307234239,10353.116449379,10429.3320396051,8851.42495915637,10063.6912979586,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,5947.6157174588,7178.01644527337,8363.4779759763,9482.09247384549,12022.2698061533,14601.0936134525,12319.5220003837,12624.8473626148,13970.0668891617,13075.728989393,13662.2410947698,14132.7679709667,12520.3364891967,12781.9321126976,14224.8577789182,16086.3182550395,16358.4741498916,16293.8000324588,18751.026511843,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,1378.31068496082,1577.92155687981,1809.90006364295,2036.19597611344,2370.95696664008,2632.78124048732,2502.89506547386,2988.44810454,3248.91217347131,3346.1088899292,3344.65579580508,3411.09671053088,3199.51964624213,3257.90121165383,3472.69762430483,3467.17819752254,3489.17024987092,3215.09292533334,3703.90012266414,..
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,4141.30095719078,4609.60354809519,4881.34656235505,5134.81740212356,5695.52160336649,6518.96485653422,6661.465564809,7721.63086545277,8890.70399886466,9435.96166320117,9468.43989381281,9694.44878542979,9586.90102723108,9854.94632871873,10452.7190352562,11310.4988757878,11482.5316836638,11475.4625106863,13041.7811855841,..
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,1238.7231396287,1425.59793264539,1637.97659949104,1956.72636550755,2454.31497511579,3080.63017194086,3316.79893740615,4006.36550144854,4860.8712070876,5376.041081452,5882.27240598661,6291.46486419249,6501.86882881589,6591.28234259783,7149.20764686243,7944.55123362633,8169.16783730136,8262.4792534288,9771.6482057467,..
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,1252.89248946726,1441.93590244029,1656.758760775,1979.16285422935,2482.42749604341,3115.85068492188,3354.56574414791,4051.95802602558,4916.02631206543,5436.75023693747,5948.44094855294,6362.01186907747,6574.56465570346,6664.79603276875,7228.76266557213,8032.79890886331,8259.79560508292,8354.06518215147,9880.09606977467,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,27193.0019619636,31004.9761022314,31947.6679669722,33794.8222587519,38715.4438625534,42353.1861913285,38578.9213931293,37605.0366114852,40656.4414229299,37594.922746854,39119.9773324278,39913.1251181574,34388.8100100187,35164.067063767,37157.1132620842,40045.5660233161,39182.5483400922,38159.7299117802,42450.1537720293,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,15599.8655596424,18128.2022828824,19225.5342850434,20749.8504590003,24158.4414492776,26480.3899409904,23197.2590506433,23640.5619374609,26148.3810084467,25090.215975511,26086.2723067211,26316.5993060474,22556.5736435145,22379.6483458232,23643.4004470588,25243.7947296066,24870.2619868165,23984.2787277322,27152.4712288326,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,2552.66800895389,3380.68415397544,4272.2778340144,5231.17530545817,6713.52977126216,8288.2321678923,6465.36549823483,7789.00431240208,9625.51745022251,10208.4653502244,10750.4500674349,9890.46105678793,7458.33504588883,7044.3362886349,7864.64506529107,7994.78016760654,8129.88601672878,7441.46530668546,8758.93855271138,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,2890.83947199859,3738.90467515296,4680.47817182597,5654.20462852194,7260.76442740189,8965.75696800991,7081.40788397399,8284.62107673442,10028.638042347,10421.1883326337,10962.4663487389,10294.9868654034,7993.44005151042,7640.69128859774,8532.43486668033,8870.39704955585,9019.71737353636,8423.19600153735,9842.05226527455,..
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,22967.4878542292,26307.6099213687,27343.5634971045,29092.7015286646,33590.3808025689,37049.5634785454,33483.3786180404,32969.7546545575,35768.2898913506,33170.5130990055,34564.1156811497,35278.8076893923,30484.5278875559,31175.1505246881,33089.2284586656,35751.2199668968,35079.4691496775,34330.3665256275,38411.062779601,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,820.390832339264,1010.61625449431,1240.48116355652,1499.8246881768,1784.9290620624,2207.57175683466,1990.66587786692,2298.21374952124,2109.70342698978,2307.06855878978,2337.38872226404,2423.7327408166,1891.18227274028,1744.35832922474,1805.53759656673,1858.1329561773,1884.58157651474,1716.21638516599,1796.39629429673,..
