Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854,43372950,44515793,45667550,46827624,47990912,49158072,50330837,51506437
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,469508516,482406426,495748900,509410477,523459657,537792950,552530654,567891875,583650827,600008150,616377331,632746296,649756874,667242712,685112705,702976832,720843207,739095988,757846442,776925275,796237676,815796521,835587566,855587644,875777974,896147645
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,318601484,327612838,336893835,346475221,356337762,366489204,376797999,387204553,397855507,408690375,419778384,431138704,442646825,454306063,466189102,478185907,490330870,502789511,515512883,528457248,541578268,554877844,568353252,582012434,595831749,609793758
Albania,ALB,"Population, total",SP.POP.TOTL,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2800251,2790947,2785660,2780047,2774058,2767499,2760309,2752321,2743633,2734078
Algeria,DZA,"Population, total",SP.POP.TOTL,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480,46278751,46922031,47538087,48130008,48700234,49251258,49787283,50311560
American Samoa,ASM,"Population, total",SP.POP.TOTL,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273,43914,43544,43161,42773,42384,41978,41562,41142,40715
Andorra,AND,"Population, total",SP.POP.TOTL,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824,80088,80341,80578,80796,80998,81187,81366,81528,81674
Angola,AGO,"Population, total",SP.POP.TOTL,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987,36684202,37804634,38942791,40099526,41274799,42468711,43680934,44911664,46161755
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763,94298,94816,95319,95803,96266,96701,97118,97510,97871
Arab World,ARB,"Population, total",SP.POP.TOTL,328703057,337498222,346630443,355754908,364427661,372351065,380383408,389131555,397922915,406501999,415077960,423664839,432545676,441467739,449228296,456520777,464677844,473258479,481913197,490547950,499101092,507591505,516028746,524418123,532756452,541045551
